Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
IMCPS,9.94764829311823E-05,0.00139075928642567,0.0359614678641465,0,0,0,0.0293335594652238,4.5957629391458E-06,-8.99359538572039E-11,-2.64954060102186E-09,4.95857805112267E-06,-1.08820336619945E-08,1.67730236911392E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IMCPS.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IMCPS.STL,,"IMCPS-4/f5_tactile-1;IMCPS-4/f6_tactile-1;IMCPS-4/f7_tactile-1;IMCPS-4/tactile_板子-1;IMCPS-4/f5盖子-1;IMCPS-4/XL,XC-330-1",IMCPS,IS,IS,revolute,0,0,0,0,0,0,IMCPF,0,1,0,0,0,0,0,,,,,,,,
IPIP,0.000592457577861749,0.000531163697172737,0.0311866797936817,0,0,0,0.0265604401702872,4.83220634550127E-06,1.06519727109617E-08,1.36332770821373E-07,3.77300635844142E-06,-5.4440099611092E-08,1.93131638461492E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IPIP.STL,,"IPIP-4/f3_tactile-1;IPIP-4/f4_tactile-1;IPIP-4/P1-从动销-1;IPIP-4/XL,XC-330-1",IPIP,IP,IP,revolute,0,0,0.052,0,0,0,IMCPS,-1,0,0,0,0,0,0,,,,,,,,
IDIP,0.000755618362615618,-0.00285690029862938,0.0251719278979153,0,0,0,0.0152963409977158,2.60252180819881E-06,-6.1179622360838E-09,1.37867546785148E-07,2.43805284577736E-06,1.22062110226725E-07,7.35865815495027E-07,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IDIP.STL,,IDIP-4/手指带摄像头右_倾斜扩大改-1;IDIP-4/手指带摄像头左_倾斜扩大-1;IDIP-4/P1-从动销-1,IDIP,ID,ID,revolute,0,0,0.0465,0,0,0,IPIP,-1,0,0,0,0,0,0,,,,,,,,
IDIP_TACTILE,4.44089209850063E-16,2.22044604925031E-16,-0.00250000000000092,0,0,0,0.00145999999999999,4.9548333333333E-08,1.02757169171568E-23,1.38089094957741E-24,2.92899999999995E-08,-8.67574700602451E-26,7.27549999999992E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IDIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IDIP_TACTILE.STL,,IDIP-4/tactile-1,IDIP_TACTILE,,ID_T,fixed,0,-0.014925,0.024096,-1.5708,0,3.1416,IDIP,0,0,0,,,,,,,,,,,,
IDIP_CAMERA,2.67746700506333E-05,0.00407450190545322,-0.0151097917606269,0,0,0,0.00086572495408493,1.23823602198178E-08,3.60503654350637E-24,7.07637706628438E-24,4.23218910238283E-08,4.32064612591672E-09,4.62218022775047E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IDIP_CAMERA.STL,,IDIP-4/摄像头-改走线^IDIP-1,IDIP_CAMERA,,ID_C,fixed,0,-0.0094581,0.043053,-1.0472,0,-3.1416,IDIP,0,0,0,,,,,,,,,,,,
IPIP_TACTILE,0,4.9960036108132E-16,-0.00249999999999917,0,0,0,0.00145999999999999,4.95483333333332E-08,-4.87185184277291E-24,1.41268932206765E-25,2.92899999999995E-08,4.52736710151494E-24,7.27549999999994E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IPIP_TACTILE.STL,,IPIP-4/tactile-1,IPIP_TACTILE,,IP_T,fixed,5E-05,-0.015,0.0391,-1.5708,0,3.1416,IPIP,0,0,0,,,,,,,,,,,,
IMCPS_TACTILE,-2.22044604925031E-16,-1.38777878078145E-17,-0.00249999999999999,0,0,0,0.00145999999999999,4.95483333333333E-08,-2.60242333028708E-23,3.77338073205543E-24,2.92899999999995E-08,-1.9160813811325E-24,7.27549999999994E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IMCPS_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/IMCPS_TACTILE.STL,,IMCPS-4/tactile-1,IMCPS_TACTILE,,IS_T,fixed,0,-0.015,0.0445,-1.5708,0,3.1416,IMCPS,0,0,0,,,,,,,,,,,,
MMCPF,-0.011077,0.0045111,-0.029218,0,0,0,0.83466,0.0062519,7.2616E-05,0.00018281,0.0083686,0.00022673,0.0024472,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MMCPF.STL,0.67451,0.7098,0.73725,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MMCPF.STL,,MMCPF-3,MMCPF,MF,MF,revolute,0.026,-0.0075,0.13,0,0,0,BASE,-1,0,0,0,0,0,0,,,,,,,,
MMCPS,9.94764829309602E-05,0.00139075928642567,0.0359614678641465,0,0,0,0.0293335594652239,4.59576293914582E-06,-8.99359538562317E-11,-2.64954060102697E-09,4.95857805112269E-06,-1.08820336619929E-08,1.67730236911393E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MMCPS.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MMCPS.STL,,"MMCPS_-3/f5_tactile-1;MMCPS_-3/f5盖子-1;MMCPS_-3/f6_tactile-1;MMCPS_-3/f7_tactile-1;MMCPS_-3/tactile_板子-1;MMCPS_-3/XL,XC-330-1",MMCPS,MS,MS,revolute,0,0,0,0,0,0,MMCPF,0,1,0,0,0,0,0,,,,,,,,
MPIP,0.000592457577861527,0.000531163697173598,0.0311866797936827,0,0,0,0.026560440170288,4.83220634550176E-06,1.06519727109626E-08,1.36332770821327E-07,3.7730063584419E-06,-5.44400996110726E-08,1.93131638461494E-06,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MPIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MPIP.STL,,"MPIP_-3/f3_tactile-1;MPIP_-3/f4_tactile-1;MPIP_-3/XL,XC-330-1;MPIP_-3/P1-从动销-1",MPIP,MP,MP,revolute,0,0,0.052,0,0,0,MMCPS,-1,0,0,0,0,0,0,,,,,,,,
MDIP,0.00075561836261584,-0.00285690029860065,0.0251719278979266,0,0,0,0.0152963409977157,2.60252180819882E-06,-6.11796223608764E-09,1.37867546785194E-07,2.43805284577737E-06,1.22062110226719E-07,7.35865815495018E-07,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MDIP.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MDIP.STL,,MDIP-3/手指带摄像头右_倾斜扩大改-1;MDIP-3/手指带摄像头左_倾斜扩大-1;MDIP-3/P1-从动销-1,MDIP,MD,MD,revolute,0,0,0.0465,0,0,0,MPIP,-1,0,0,0,0,0,0,,,,,,,,
MDIP_TACTILE,4.44089209850063E-16,-1.11022302462516E-14,-0.00250000000002965,0,0,0,0.00145999999999999,4.95483333333329E-08,-2.93432931906707E-25,4.54163009572819E-24,2.92899999999995E-08,5.3677819714707E-24,7.27549999999991E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MDIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MDIP_TACTILE.STL,,MDIP-3/tactile-1,MDIP_TACTILE,,MD_T,fixed,0,-0.014925,0.024096,-1.5708,0,3.1416,MDIP,0,0,0,,,,,,,,,,,,
MDIP_CAMERA,2.67746700506333E-05,0.00407450190542905,-0.0151097917606461,0,0,0,0.00086572495408493,1.23823602198178E-08,1.63381026268932E-25,-1.37344950870544E-24,4.23218910238283E-08,4.32064612591673E-09,4.62218022775047E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MDIP_CAMERA.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MDIP_CAMERA.STL,,MDIP-3/摄像头-改走线^IDIP-1,MDIP_CAMERA,,MD_C,fixed,0,-0.0094581,0.043053,-1.0472,0,-3.1416,MDIP,0,0,0,,,,,,,,,,,,
MPIP_TACTILE,-2.22044604925031E-16,0,-0.0025,0,0,0,0.00145999999999999,4.95483333333332E-08,-1.50931913296594E-23,3.50911902120021E-25,2.92899999999995E-08,4.52736710151494E-24,7.27549999999994E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MPIP_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MPIP_TACTILE.STL,,MPIP_-3/tactile-1,MPIP_TACTILE,,MP_T,fixed,5E-05,-0.015,0.0391,-1.5708,0,3.1416,MPIP,0,0,0,,,,,,,,,,,,
MMCPS_TACTILE,-2.22044604925031E-16,-2.77555756156289E-17,-0.00249999999999999,0,0,0,0.00145999999999999,4.9548333333333E-08,-9.66913771948073E-24,-2.95914222032437E-25,2.92899999999995E-08,4.72572091989409E-24,7.27549999999992E-08,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MMCPS_TACTILE.STL,1,1,1,1,0,0,0,0,0,0,package://PALM_URDF_0723_collision_featured.SLDASM/meshes/MMCPS_TACTILE.STL,,MMCPS_-3/tactile-1,MMCPS_TACTILE,,MS_T,fixed,0,-0.015,0.0445,-1.5708,0,3.1416,MMCPS,0,0,0,,,,,,,,,,,,
